Time	Session	Speaker	Attendance	Category	Percentage
8:30 AM	 Keynote 	 Kellyn Gorman	0	Keynote	100
9:15 AM	 A Practical Starter Guide to SQL Notebooks 	 Deborah Melkin	0	Tools	#DIV/0!
9:15 AM	 Adopting a Compliant Database DevOps Process 	 Steve Jones	0	DevOps	#DIV/0!
9:15 AM	 Building a robust deployment pipeline in Power BI 	 Michael Johnson	0	Power BI	#DIV/0!
9:15 AM	 SQL Server in Azure Virtual Machine – Configuring for price-performance 	 Aditya Badramraju	0	Cloud	#DIV/0!
9:15 AM	 Temporal Fusion Transformer: Predicting time series data 	 Benjamin Kettner	0	AI/ML	#DIV/0!
9:15 AM	" Why Soft Skills Matter in your Career, and a few practical ways to improve them "	 Daniel Kimberlin	0	Pro Dev	#DIV/0!
10:25 AM	 Revenge: The SQL! 	 Rob Volk		T-SQL	#DIV/0!
10:25 AM	 High Avaialbility with SQL Server 	 Eric Peterson		HA/DR	#DIV/0!
10:25 AM	 Dealing with the wide scope of Power BI end users 	 Tom Carnevale		Power BI	#DIV/0!
10:25 AM	 Unlock New Value in the Cloud with Azure SQL Managed Instance 	 Niko Neugebauer and Dr. Dani Ljepava		Cloud	#DIV/0!
10:25 AM	 Working with OAuth 2.0 APIs in Azure Data Factory 	 Martin Schoombee		ETL/ADF/SSIS	#DIV/0!
10:25 AM	 PowerShell and dbatools - Your secret Superpower 	 Frank Geisler		PowerShell	#DIV/0!
11:35 PM	 T-SQL Window Function Performance 	 Kathi Kellenberger		T-SQL	#DIV/0!
11:35 PM	" Building Your First Clusterless Availability Group On Metal, VMs, Cloud, Or All Three! "	 Brandon Tucker		HA/DR	#DIV/0!
11:35 PM	 Like a version. 	 Adrian Mee		ETL/ADF/SSIS	#DIV/0!
11:35 PM	 Think outside the box with Microsoft Tools 	 Melody Zacharias		Tools	#DIV/0!
11:35 PM	 Sensitivity labels - what do they look like 	 Heidi Hasting		Compliance/Privacy	#DIV/0!
11:35 PM	" Data Pages, Allocation Units, IAM chains Oh My!… "	 Brandon Leach		Internals	#DIV/0!
12:45 PM	 Intelligent Query Processing 	 Kathi Kellenberger		Query Performance	#DIV/0!
12:45 PM	 Data Storytelling 	 Shawn Duffy		Data Visualization	#DIV/0!
12:45 PM	 CozyRoc: Dynamic Data Flows in SSIS Without Programming 	 Diane Schuster		ETL/ADF/SSIS	#DIV/0!
12:45 PM	 Simplify Your Data Quality Processes 	 Tillmann Eitelberg and Oliver Engels		BI	#DIV/0!
12:45 PM	 Advantis Global Introduction 	 Kyle Dover		Vendor	#DIV/0!
1:40 PM	 T-SQL Window Functions - real world implementation 	 Martin Catherall		T-sQL	#DIV/0!
1:40 PM	 Reduce Data Warehouse Processing with PowerShell Pre-ETL Processing 	 Erin Dempster		PowerShell	#DIV/0!
1:40 PM	 How to Fix a Report I Didn't Build - A Hot Potato Story 	 Reid Havens		Power BI	#DIV/0!
1:40 PM	 Introduction to Azure Synapse Studio Development Tools 	 Russ Loski		Tools	#DIV/0!
1:40 PM	 Effectively integrating FHIR data from Azure Health Services 	 Steve Hughes		Cloud	#DIV/0!
1:40 PM	" Deadlocks – Analysing, Preventing and Mitigating "	 Erland Sommarskog		Query Performance	#DIV/0!
2:50 PM	 Missing Indexes: Do's and Don'ts 	 Andy Yun		Query Performance	#DIV/0!
2:50 PM	 Top 10 Things DBA’s Should Know About Their Infrastructure 	 Jeff Taylor		DBA Administration	#DIV/0!
2:50 PM	 Implementing a successful user engagement during Power BI rollout 	 Ásgeir Gunnarsson		Power BI	#DIV/0!
2:50 PM	 Beginning SQL SERVER High Availability and Disaster Recovery 	 Marcelo Adade		HA/DR	#DIV/0!
2:50 PM	 Azure Synapse + Power BI + Purview = True 	 Johan Ludvig Brattås and Marthe Moengen		"BI, Compliance"	#DIV/0!
2:50 PM	 Encrypting and securing your data in Azure SQL DB with no code impact 	 Armando Lacerda		"Security, Cloud"	#DIV/0!
4:00 PM	 (No) Fear of the Dark - shedding light on the Azure data universe 	 Benjamin Kettner and Frank Geisler		Cloud	#DIV/0!
4:00 PM	 Monitoring SQL Server on Linux 	 Rick Lowe		DBA Administration	#DIV/0!
4:00 PM	 Working with complicated data models in DAX 	 James McGillivray		Power BI	#DIV/0!
4:00 PM	 Brick-by-Brick: An Introduction to Azure Databricks 	 Chris Hyde		"BI, Databricks"	#DIV/0!
4:00 PM	 Data Science using Azure Synapse Analytics 	 Neil Hambly		"Synapse, Data Science"	#DIV/0!
4:00 PM	 How to make the Agent sing your tune - or squeal like a pig. 	 Mikael Wedham		DBA Administration	#DIV/0!
