Event,Event Number,EventDate,Registered,Attended,No show rate,Waitlist,Recordings,Charge For Lunch,Notes
SQL Saturday Sri Lanka 2023 (virtual),1040,1/6/2023,118,84,29%,,,,
SQL Saturday Austin 2023 ,1043,2/25/2023,140,82,41%,64,,,
SQL Saturday Atlanta 2023 - BI Edition,1042,2/25/2023,434,320,26%,,,,
SQL Saturday Baton Rouge 2023 - BI Edition,1045,3/18/2023,236,106,55%,,,,
SQL Saturday Costa Rica 2023,1044,4/1/2023,,280,0%,,640,,
SQL Saturday Haiti 2023 (Virtual),1050,4/29/2023,135,50,63%,,200,,200 at last count on YT
SQL Saturday Jacksonville 2023,1041,5/6/2023,532,272,49%,,,,not sure of final count but at least 272.
SQL Saturday New York City 2023,1048,5/6/2023,300,150,50%,,,,felt free tier was abused by attendees
Ohio North SQL Saturday (Cleveland) 2023,1055,5/20/2023,100,70,30%,,,,
SQL Saturday South Florida 2023,1053,6/3/2023,,120,0%,,,,
SQL Saturday Los Angeles 2023,1049,6/10/2023,257,135,47%,,,,
SQL Saturday ICA 2023,1051,6/24/2023,72,57,21%,,,,
SQL Saturday Columbus,1058,7/15/2023,170,85,50%,,,,
SQL Saturday Baton Rouge 2023,1060,7/28/2023,320,208,35%,,,,
SQL Saturday Bangladesh 2023,1062,8/19/2023,,,0%,,,,
SQL Saturday Denver 2023,1056,9/23/2023,200,85,58%,,,,
SQL Saturday Minnesota 2023 ,1054,9/30/2023,270,200,26%,,,,
SQL Saturday Boston 2023 ,1046,10/14/2023,254,184,28%,,,,precon 56
SQL Saturday Belo Horizonte 2023 ,1063,10/21/2023,900,400,56%,,,,
SQL Saturday Oregon and SW Washington 2023,1057,11/11/2023,331,266,20%,,,,
SQL Saturday Orlando 2023,1047,10/14/2023,331,170,49%,,,,Precon 37
SQL Saturday Silicon Valley 2023,1066,10/21/2023,177,103,42%,,,,
SQL Saturday Toronto 2023,1064,10/21/2023,189,165,13%,,,,A number of in person registrations not counted in the reg total
SQL Saturday Vitoria,1065,10/28/2023,1184,468,60%,,,,
SQL Saturday Oregon and SW Washington 2023,1057,11/11/2023,331,266,20%,,,,
,,,,4326,,,,,
